Elaphe quadrivirgata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Elaphe	quadrivirgata	BOIE	1826	Japanese Four-lined Ratsnake	No	No
Elaphe quatuorlineata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Elaphe	quatuorlineata	BONNATERRE	1790	Four-lined Ratsnake	No	No
Coelognathus radiatus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Coelognathus	radiatus	BOIE	1827	Radiated Ratsnakes, Copperhead Rat Snake, Copper-headed Trinket Snake	No	No
Oocatochus rufodorsatus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Oocatochus	rufodorsatus	CANTOR	1842	Frog-eating Rat Snake, Red-backed Rat Snake	No	No
Rhinechis scalaris	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Rhinechis	scalaris	SCHINZ	1822	Ladder Snakes	No	No
Elaphe schrenckii	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Elaphe	schrenckii	STRAUCH	1873	Amur Ratsnakes, Siberian Ratsnake	No	No
Zamenis situla	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Zamenis	situla	LINNAEUS	1758	Leopard Snakes, European Ratsnake	No	No
Coelognathus subradiatus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Coelognathus	subradiatus	SCHLEGEL	1837	Sunda Rat Snake	No	No
Orthriophis taeniurus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Orthriophis	taeniurus	COPE	1861	Beauty Snake (fries	No	No
Pantherophis vulpinus	Colubridae, Colubrinae, Lampropeltini, Colubroidea, Serpentes (snakes)	Pantherophis	vulpinus	BAIRD & GIRARD	1853	Eastern Fox Snake	No	No
Elapognathus minor	Elapidae, Serpentes (snakes)	Elapognathus	minor	GNTHER	1863	Short-nosed Snake, Little Brown Snake	Yes	No
Elapoidis fusca	Colubridae, incertae sedis, Colubroidea, Serpentes (snakes)	Elapoidis	fusca	BOIE	1826		No	No
Phalotris lemniscatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Phalotris	lemniscatus	DUMRIL, BIBRON  & DUMRIL	1854	Dumeril's Diadem Snake	No	No
Coronelaps lepidus	Dipsadidae, Colubroidea, Serpentes (snakes)	Coronelaps	lepidus	REINHARDT	1861	Minas Gerais Snake, Crowned Burrowing Snake	No	No
Elapomorphus quinquelineatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Elapomorphus	quinquelineatus	RADDI	1820	Raddi's Lizard-eating Snake	No	No
Elapomorphus spegazzinii	Dipsadidae, Colubroidea, Serpentes (snakes)	Elapomorphus	spegazzinii	BOULENGER	1913	Spegazzini's Diadem Snake	No	No
Elapomorphus wuchereri	Dipsadidae, Colubroidea, Serpentes (snakes)	Elapomorphus	wuchereri	GNTHER	1861	Wucherer's Lizard-eating Snake	No	No
Elapsoidea broadleyi	Elapidae, Serpentes (snakes)	Elapsoidea	broadleyi	JAKOBSEN	1997		Yes	No
Elapsoidea chelazziorum	Elapidae, Serpentes (snakes)	Elapsoidea	chelazziorum	LANZA	1979	Somali Garter Snake	Yes	No
Elapsoidea guentherii	Elapidae, Serpentes (snakes)	Elapsoidea	guentherii	BOCAGE	1866	Gnthers Garter Snake	Yes	No
Elapsoidea laticincta	Elapidae, Serpentes (snakes)	Elapsoidea	laticincta	WERNER	1919	Werner's Garter Snake	Yes	No
Elapsoidea loveridgei	Elapidae, Serpentes (snakes)	Elapsoidea	loveridgei	PARKER	1949	Loveridge's Garter Snake, East African Garter Snake	Yes	No
Elapsoidea nigra	Elapidae, Serpentes (snakes)	Elapsoidea	nigra	GNTHER	1888	Black Garter Snake	Yes	No
Elapsoidea semiannulata	Elapidae, Serpentes (snakes)	Elapsoidea	semiannulata	BOCAGE	1882	Angolan Garter Snake	Yes	No
Elapsoidea sundevallii	Elapidae, Serpentes (snakes)	Elapsoidea	sundevallii	SMITH	1848	Sundevall's Garter Snake, African Garter Snake, De Coster's Garter Snake, Kalahari Garter Snake, Long-tailed Garter Snake, Highveld Garter Snake	Yes	No
Emmochliophis fugleri	Dipsadidae, Colubroidea, Serpentes (snakes)	Emmochliophis	fugleri	FRITTS & SMITH	1969	Pinchinda Snake	No	No
Emmochliophis miops	Dipsadidae, Colubroidea, Serpentes (snakes)	Emmochliophis	miops	BOULENGER	1898		No	No
Emydocephalus annulatus	Elapidae (Hydrophiinae), Serpentes (snakes)	Emydocephalus	annulatus	KREFFT	1869	Turtle-headed seasnake, Egg-eating Sea Snake	Yes	Yes
Emydocephalus ijimae	Elapidae (Hydrophiinae), Serpentes (snakes)	Emydocephalus	ijimae	STEJNEGER	1898	Turtlehead Sea Snake	Yes	Yes
Hydrophis schistosus	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	schistosus	DAUDIN	1803	Common or beaked seasnake, Hook-nosed sea snake	Yes	Yes
Hydrophis zweifeli	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	zweifeli	KHARIN	1985	Sepik or Zweifels beaked seasnake	Yes	Yes
Sumatranus albomaculata	Homalopsidae, Serpentes (snakes)	Sumatranus	albomaculata	DUMRIL, BIBRON  & DUMRIL	1854	Sumatran Mud Snake, White-spotted Water Snake	No	No
Miralia alternans	Homalopsidae, Serpentes (snakes)	Miralia	alternans	REUSS	1834	Reuss Mud Snake, Reuss' Water Snake	No	No
Myrrophis bennettii	Homalopsidae, Serpentes (snakes)	Myrrophis	bennettii	GRAY	1842	Bennett's Mud Snake	No	No
Subsessor bocourti	Homalopsidae, Serpentes (snakes)	Subsessor	bocourti	JAN	1865	Bocourts Mud Snake, Bocourt's Water Snake	No	No
Myrrophis chinensis	Homalopsidae, Serpentes (snakes)	Myrrophis	chinensis	GRAY	1842	Chinese Mud Snake	No	No
Homalophis doriae	Homalopsidae, Serpentes (snakes)	Homalophis	doriae	PETERS	1871	Sarawak Mud Snake, Sarawak Water Snake, Blotched-Lipped Mud Snake	No	No
Dieurostus dussumieri	Homalopsidae, Serpentes (snakes)	Dieurostus	dussumieri	DUMRIL, BIBRON  & DUMRIL	1854	Kerala Mud Snake, Dussumier's Water Snake	No	No
Enhydris enhydris	Homalopsidae, Serpentes (snakes)	Enhydris	enhydris	SCHNEIDER	1799	Rainbow Mud Snake, Rainbow Water Snake, Striped Water Snake, Smooth Water Snake	No	No
Raclitia indica	Homalopsidae, Serpentes (snakes)	Raclitia	indica	GRAY	1842	Selangor Mud Snake, West Malaysia Water Snake, Indian Water Snake	No	No
Enhydris innominata	Homalopsidae, Serpentes (snakes)	Enhydris	innominata	MORICE	1875	Tay Ninh Water Snake	No	No
Enhydris jagorii	Homalopsidae, Serpentes (snakes)	Enhydris	jagorii	PETERS	1863	Bangkok Mud Snake, Striped Water Snake, Jagors Water Snake	No	No
Enhydris longicauda	Homalopsidae, Serpentes (snakes)	Enhydris	longicauda	BOURRET	1934	Long-tailed Mud Snake, Longhead Water Snake	No	No
Gyiophis maculosa	Homalopsidae, Serpentes (snakes)	Gyiophis	maculosa	BLANFORD	1881	Blanfords Mud Snake, Blanford's Spotted Water Snake	No	No
Hypsiscopus matannensis	Homalopsidae, Serpentes (snakes)	Hypsiscopus	matannensis	BOULENGER	1897	Boulenger's Water Snake	No	No
Kualatahan pahangensis	Homalopsidae, Serpentes (snakes)	Kualatahan	pahangensis	TWEEDIE	1946	Pahang Mud Snake, Pahang Water Snake	No	No
Mintonophis pakistanicus	Homalopsidae, Serpentes (snakes)	Mintonophis	pakistanicus	MERTENS	1959	Sind River Mud Snake	No	No
Hypsiscopus plumbea	Homalopsidae, Serpentes (snakes)	Hypsiscopus	plumbea	BOIE	1827	Boies Mud Snake, Rice Paddy Snake, Plumbeous water snake	No	No
Pseudoferania polylepis	Homalopsidae, Serpentes (snakes)	Pseudoferania	polylepis	FISCHER	1886	Macleays Mud Snake, Smooth watersnake	No	No
Phytolopsis punctata	Homalopsidae, Serpentes (snakes)	Phytolopsis	punctata	GRAY	1849	Blackwater Mud Snake, Spotted Water Snake	No	No
Ferania sieboldii	Homalopsidae, Serpentes (snakes)	Ferania	sieboldii	SCHLEGEL	1837	Siebold Mud Snake, Siebold's Water Snake	No	No
Enuliophis sclateri	Dipsadidae, Colubroidea, Serpentes (snakes)	Enuliophis	sclateri	BOULENGER	1894	Colombian Longtail Snake	No	No
Enulius bifoveatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Enulius	bifoveatus	MCCRANIE & KHLER	1999		No	No
Enulius flavitorques	Dipsadidae, Colubroidea, Serpentes (snakes)	Enulius	flavitorques	COPE	1868	Pacific Longtail Snake	No	No
Enulius oligostichus	Dipsadidae, Colubroidea, Serpentes (snakes)	Enulius	oligostichus	SMITH, ARNDT & SHERBROOK	1967	Mexican Longtail Snake	No	No
Enulius roatanensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Enulius	roatanensis	MCCRANIE & KHLER	1999		No	No
Ephalophis greyae	Elapidae (Hydrophiinae), Serpentes (snakes)	Ephalophis	greyae	SMITH	1931	North-western Mangrove Seasnake	Yes	Yes
Chilabothrus angulifer	Boidae (Boinae), Henophidia, Serpentes (snakes)	Chilabothrus	angulifer	COCTEAU & BIBRON	1840	Cuban Boa	No	Yes
Epicrates cenchria	Boidae (Boinae), Henophidia, Serpentes (snakes)	Epicrates	cenchria	LINNAEUS	1758	Rainbow Boa	No	Yes
Chilabothrus chrysogaster	Boidae (Boinae), Henophidia, Serpentes (snakes)	Chilabothrus	chrysogaster	COPE	1871	Turk's Island Boa	No	Yes
Chilabothrus exsul	Boidae (Boinae), Henophidia, Serpentes (snakes)	Chilabothrus	exsul	NETTING & GOIN	1944	Abaco Island Boa	No	Yes
Chilabothrus fordii	Boidae (Boinae), Henophidia, Serpentes (snakes)	Chilabothrus	fordii	GNTHER	1861	Ford Boa	No	Yes
Chilabothrus gracilis	Boidae (Boinae), Henophidia, Serpentes (snakes)	Chilabothrus	gracilis	FISCHER	1888	Hispaniola Boa	No	Yes
Chilabothrus inornatus	Boidae (Boinae), Henophidia, Serpentes (snakes)	Chilabothrus	inornatus	REINHARDT	1843	Puerto Rican Boa	No	Yes
Chilabothrus monensis	Boidae (Boinae), Henophidia, Serpentes (snakes)	Chilabothrus	monensis	ZENNECK	1898	Mona Island Boa	No	Yes
Chilabothrus striatus	Boidae (Boinae), Henophidia, Serpentes (snakes)	Chilabothrus	striatus	FISCHER	1856	Haitian Boa	No	Yes
Chilabothrus subflavus	Boidae (Boinae), Henophidia, Serpentes (snakes)	Chilabothrus	subflavus	STEJNEGER	1901	Jamaican Yellow Boa	No	Yes
Hypsiglena slevini	Dipsadidae, Colubroidea, Serpentes (snakes)	Hypsiglena	slevini	TANNER	1943	Baja California Night Snake	No	No
Eristicophis macmahoni	Viperidae, Viperinae, Serpentes (snakes)	Eristicophis	macmahoni	ALCOCK & FINN	1897	McMahons Desert Viper, Asian sand viper	Yes	Yes
Protobothrops mangshanensis	Viperidae, Crotalinae, Serpentes (snakes)	Protobothrops	mangshanensis	ZHAO	1990	Mangshan pitviper, Mt. Mang Pitviper, Mang Mountain Pitviper	Yes	Yes
Erpeton tentaculatum	Homalopsidae, Serpentes (snakes)	Erpeton	tentaculatum	LACPDE	1800	Tentacle Snake	No	No
Erythrolamprus aesculapii	Dipsadidae, Colubroidea, Serpentes (snakes)	Erythrolamprus	aesculapii	LINNAEUS	1758	Aesculapian False Coral Snake	No	No
Erythrolamprus ocellatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Erythrolamprus	ocellatus	PETERS	1869	Tobago False Coral Snake, Red Snake	No	No
Erythrolamprus bizona	Dipsadidae, Colubroidea, Serpentes (snakes)	Erythrolamprus	bizona	JAN	1863	False Coral Snake	No	No
Erythrolamprus guentheri	Dipsadidae, Colubroidea, Serpentes (snakes)	Erythrolamprus	guentheri	GARMAN	1883	Gnther's False Coral Snake	No	No
Erythrolamprus mimus	Dipsadidae, Colubroidea, Serpentes (snakes)	Erythrolamprus	mimus	COPE	1868	Mimic False Coral Snake	No	No
Erythrolamprus pseudocorallus	Dipsadidae, Colubroidea, Serpentes (snakes)	Erythrolamprus	pseudocorallus	ROZE	1959	False Coral Snake	No	No
Eryx elegans	Boidae (Erycinae, Erycidae), Henophidia, Serpentes (snakes)	Eryx	elegans	GRAY	1849	Central Asia Sand Boa	No	Yes
Eryx jaculus	Boidae (Erycinae, Erycidae), Henophidia, Serpentes (snakes)	Eryx	jaculus	LINNAEUS	1758	Javelin Sand Boa	No	Yes
Eryx jayakari	Boidae (Erycinae, Erycidae), Henophidia, Serpentes (snakes)	Eryx	jayakari	BOULENGER	1888	Arabian Sand Boa	No	Yes
Eryx johnii	Boidae (Erycinae, Erycidae), Henophidia, Serpentes (snakes)	Eryx	johnii	RUSSELL	1801	Brown Sand Boa, Indian Sand Boa, Red Sand Boa	No	Yes
Eryx miliaris	Boidae (Erycinae, Erycidae), Henophidia, Serpentes (snakes)	Eryx	miliaris	PALLAS	1773	Dwarf Sand Boa, Desert Sand Boa, Tartar Sand Boa	No	Yes
Eryx somalicus	Boidae (Erycinae, Erycidae), Henophidia, Serpentes (snakes)	Eryx	somalicus	SCORTECCI	1939	Somali Sand Boa	No	Yes
Eryx tataricus	Boidae (Erycinae, Erycidae), Henophidia, Serpentes (snakes)	Eryx	tataricus	LICHTENSTEIN	1823	Tartar Sand Boa	No	Yes
Eryx whitakeri	Boidae (Erycinae, Erycidae), Henophidia, Serpentes (snakes)	Eryx	whitakeri	DAS	1991	Whitaker sand boa	No	Yes
Etheridgeum pulchrum	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Etheridgeum	pulchrum	WERNER	1924	Sumatra Etheridge Snake	No	No
Eunectes deschauenseei	Boidae (Boinae), Henophidia, Serpentes (snakes)	Eunectes	deschauenseei	DUNN & CONANT	1936	Dark-spotted Anaconda	No	Yes
Eunectes murinus	Boidae (Boinae), Henophidia, Serpentes (snakes)	Eunectes	murinus	LINNAEUS	1758	Anaconda, Green Anaconda	No	Yes
Eunectes notaeus	Boidae (Boinae), Henophidia, Serpentes (snakes)	Eunectes	notaeus	COPE	1862	 Yellow Anaconda	No	Yes
Elapotinus picteti	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Elapotinus	picteti	DOMERGUE	1984		No	No
Exiliboa placata	Boidae (Charinidae, Ungaliophiinae), Henophidia, Serpentes (snakes)	Exiliboa	placata	BOGERT	1968	Oaxacan Dwarf Boa	No	Yes
Farancia abacura	Dipsadidae, Colubroidea, Serpentes (snakes)	Farancia	abacura	HOLBROOK	1836	abacu	No	No
Farancia erytrogramma	Dipsadidae, Colubroidea, Serpentes (snakes)	Farancia	erytrogramma	PALISSOT DE BEAUVOIS	1802	erytrogram	No	No
Ficimia hardyi	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ficimia	hardyi	MENDOZA-QUIJANO & SMITH	1993		No	No
Ficimia olivacea	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ficimia	olivacea	GRAY	1849	Mexican Hook-nosed Snake	No	No
Ficimia publia	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ficimia	publia	COPE	1866	Blotched Hooknose Snake	No	No
Ficimia ramirezi	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ficimia	ramirezi	SMITH & LANGEBARTEL	1949	Ramirez's Hooknose Snake	No	No
Ficimia ruspator	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ficimia	ruspator	SMITH & TAYLOR	1941	Guerreran Hooknose Snake	No	No
Ficimia streckeri	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ficimia	streckeri	TAYLOR	1931	Tamaulipan or Mexican Hooknose Snake	No	No
Ficimia variegata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ficimia	variegata	GNTHER	1858	Tehuantepec Hooknose Snake	No	No
Fimbrios klossi	Xenodermatidae, Serpentes (snakes)	Fimbrios	klossi	SMITH	1921	Bearded Snake	No	No
Fordonia leucobalia	Homalopsidae, Serpentes (snakes)	Fordonia	leucobalia	SCHLEGEL	1837	Crab-eating (Water) Snake, White-bellied mangrove snake	No	No
Furina barnardi	Elapidae, Serpentes (snakes)	Furina	barnardi	KINGHORN	1939	Yellow-naped Snake	Yes	No
Furina diadema	Elapidae, Serpentes (snakes)	Furina	diadema	SCHLEGEL	1837	Red-naped Snake	Yes	No
Furina dunmalli	Elapidae, Serpentes (snakes)	Furina	dunmalli	WORRELL	1955	Dunmall's Snake	Yes	No
Furina ornata	Elapidae, Serpentes (snakes)	Furina	ornata	GRAY	1842	Orange-naped Snake	Yes	No
Furina tristis	Elapidae, Serpentes (snakes)	Furina	tristis	GNTHER	1858	Brown-headed or grey-naped snake	Yes	No
Hapsidophrys smaragdina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Hapsidophrys	smaragdina	SCHLEGEL	1837	Emerald Snake	No	No
Geagras redimitus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Geagras	redimitus	COPE	1876	Tehuantepec Striped Snake	No	No
Compsophis boulengeri	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Compsophis	boulengeri	PERACCA	1892	Boulenger's Forest Snake	No	No
Compsophis infralineatus	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Compsophis	infralineatus	GNTHER	1882	Lined Forest Snake	No	No
Compsophis laphystius	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Compsophis	laphystius	CADLE	1996		No	No
Compsophis vinckei	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Compsophis	vinckei	DOMERGUE	1988		No	No
Compsophis zeny	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Compsophis	zeny	CADLE	1996		No	No
Geophis anocularis	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	anocularis	DUNN	1920	Sierra Mije Earth Snake	No	No
Geophis betaniensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	betaniensis	RESTREPO & WRIGHT	1987	Betanien Earth Snake	No	No
Geophis bicolor	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	bicolor	GNTHER	1868	Mexican Plateau Earth Snake	No	No
Geophis blanchardi	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	blanchardi	TAYLOR & SMITH	1939	Blanchard's Earth Snake	No	No
Geophis brachycephalus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	brachycephalus	COPE	1871	Colombian Earth Snake	No	No
Geophis cancellatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	cancellatus	SMITH	1941	Chiapas Earth Snake	No	No
Geophis carinosus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	carinosus	STUART	1941	Keeled Earth Snake	No	No
Geophis chalybeus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	chalybeus	WAGLER	1830	Veracruz Earth Snake	No	No
Geophis championi	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	championi	BOULENGER	1894	Panamenian Earth Snake	No	No
Geophis damiani	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	damiani	WILSON, MCCRANIE & WILLIAMS	1998		No	No
Geophis downsi	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	downsi	SAVAGE	1981	Savage's Earth Snake	No	No
Geophis dubius	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	dubius	PETERS	1861	Mesa del Sur Earth Snake	No	No
Geophis duellmani	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	duellmani	SMITH & HOLLAND	1969	Sierra Juarez Earth Snake	No	No
Geophis dugesii	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	dugesii	BOCOURT	1883	Dugs' Earth Snake	No	No
Geophis dunni	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	dunni	SCHMIDT	1932	Dunn's Earth Snake	No	No
Geophis fulvoguttatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	fulvoguttatus	MERTENS	1952	Mertens' Earth Snake	No	No
Geophis godmani	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	godmani	BOULENGER	1894	Godman's Earth Snake	No	No
Geophis hoffmanni	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	hoffmanni	PETERS	1859	Hoffmann's Earth Snake	No	No
Geophis immaculatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	immaculatus	DOWNS	1967	Downs' Earth Snake	No	No
Geophis incomptus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	incomptus	DUELLMAN	1959	Sierra Coalcoman Earth Snake	No	No
Geophis isthmicus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	isthmicus	BOULENGER	1894	Isthmian Earth Snake	No	No
Geophis laticinctus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	laticinctus	SMITH & WILLIAMS	1963	Mesa Central Earth Snake	No	No
Geophis laticollaris	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	laticollaris	SMITH, LYNCH & ALTIG	1965	Widecollar Earth Snake	No	No
Geophis latifrontalis	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	latifrontalis	GARMAN	1883	Potos Earth Snake	No	No
Geophis maculiferus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	maculiferus	TAYLOR	1941	Michoacn Earth Snake	No	No
Geophis mutitorques	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	mutitorques	COPE	1885	Highland Earth Snake	No	No
Geophis nasalis	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	nasalis	COPE	1868	Coffee Earth Snake	No	No
Geophis nigrocinctus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	nigrocinctus	DUELLMAN	1959	Black-banded Earth Snake	No	No
Geophis omiltemanus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	omiltemanus	GNTHER	1893	Guerreran Earth Snake	No	No
Geophis petersii	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	petersii	BOULENGER	1894	Peters' Earth Snake	No	No
Geophis pyburni	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	pyburni	CAMPBELL & MURPHY	1977	Pyburn's Earth Snake	No	No
Geophis rhodogaster	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	rhodogaster	COPE	1868	Rosebelly Earth Snake	No	No
Geophis russatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	russatus	SMITH & WILLIAMS	1966	Red Earth Snake	No	No
Geophis ruthveni	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	ruthveni	WERNER	1925	Ruthven's Earth Snake	No	No
Geophis sallaei	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	sallaei	BOULENGER	1894	Sallae's Earth Snake	No	No
Geophis semidoliatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	semidoliatus	DUMRIL, BIBRON  & DUMRIL	1854	Coral Earth Snake	No	No
Geophis sieboldi	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	sieboldi	JAN	1862	Siebold's Earth Snake	No	No
Geophis talamancae	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	talamancae	LIPS & SAVAGE	1994		No	No
Geophis tarascae	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	tarascae	HARTWEG	1959	Tarascan Earth Snake	No	No
Geophis zeledoni	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	zeledoni	TAYLOR	1954		No	No
Gerarda prevostiana	Homalopsidae, Serpentes (snakes)	Gerarda	prevostiana	EYDOUX & GERVAIS	1837	Gerard's Water Snake, Cat-eyed Water Snake, Glossy Marsh snake	No	No
Gloydius blomhoffii	Viperidae, Crotalinae, Serpentes (snakes)	Gloydius	blomhoffii	BOIE	1826	Mamushi	Yes	Yes
Gloydius halys	Viperidae, Crotalinae, Serpentes (snakes)	Gloydius	halys	PALLAS	1776	Halys Pit Viper (hal	Yes	Yes
Gloydius himalayanus	Viperidae, Crotalinae, Serpentes (snakes)	Gloydius	himalayanus	GNTHER	1864	Himalayan Pitvip	Yes	Yes
Gloydius intermedius	Viperidae, Crotalinae, Serpentes (snakes)	Gloydius	intermedius	STRAUCH	1868	Central Asian pitvip	Yes	Yes
Gloydius monticola	Viperidae, Crotalinae, Serpentes (snakes)	Gloydius	monticola	WERNER	1922	Likiang pitvip	Yes	Yes
Gloydius saxatilis	Viperidae, Crotalinae, Serpentes (snakes)	Gloydius	saxatilis	EMELIANOV	1937		Yes	Yes
Gloydius shedaoensis	Viperidae, Crotalinae, Serpentes (snakes)	Gloydius	shedaoensis	ZHAO	1979	Shedao island pitvip	Yes	Yes
Gloydius strauchi	Viperidae, Crotalinae, Serpentes (snakes)	Gloydius	strauchi	BEDRIAGA	1912	Strauch pitvip	Yes	Yes
Gloydius tsushimaensis	Viperidae, Crotalinae, Serpentes (snakes)	Gloydius	tsushimaensis	ISOGAWA, MORIYA & MITSUI	1994	Tsushima island pitviper	Yes	Yes
Gloydius ussuriensis	Viperidae, Crotalinae, Serpentes (snakes)	Gloydius	ussuriensis	EMELIANOV	1929	Ussuri Mamus	Yes	Yes
Gomesophis brasiliensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Gomesophis	brasiliensis	GOMES	1918	Brazilian Burrowing Snake	No	No
Eryx colubrinus	Boidae (Erycinae, Erycidae), Henophidia, Serpentes (snakes)	Eryx	colubrinus	LINNAEUS	1758	Sand Boa	No	Yes
Eryx conicus	Boidae (Erycinae, Erycidae), Henophidia, Serpentes (snakes)	Eryx	conicus	SCHNEIDER	1801	Rough-tailed Sand Boa, Common Sand Boa	No	Yes
Eryx muelleri	Boidae (Erycinae, Erycidae), Henophidia, Serpentes (snakes)	Eryx	muelleri	BOULENGER	1892	Mller sand boa	No	Yes
Gongylosoma baliodeirus	Colubridae, incertae sedis, Colubroidea, Serpentes (snakes)	Gongylosoma	baliodeirus	BOIE	1827	Boie's Smooth Snake, Striped Ringneck	No	No
Gongylosoma longicauda	Colubridae, incertae sedis, Colubroidea, Serpentes (snakes)	Gongylosoma	longicauda	PETERS	1871	Peters' Smooth Snake, Long-tailed Ringneck	No	No
Gonionotophis brussauxi	Lamprophiidae, Lamprophiinae, Serpentes (snakes)	Gonionotophis	brussauxi	MOCQUARD	1889	Mocquard's African Ground Snake	No	No
Gonionotophis grantii	Lamprophiidae, Lamprophiinae, Serpentes (snakes)	Gonionotophis	grantii	GNTHER	1863	Savanna Lesser File Snake	No	No
Gonionotophis klingi	Lamprophiidae, Lamprophiinae, Serpentes (snakes)	Gonionotophis	klingi	MATSCHIE	1893	Matschie's African Ground Snake	No	No
Gonyosoma margaritatus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Gonyosoma	margaritatus	PETERS	1871	Rainbow Tree Snake	No	No
Gonyosoma frenatus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Gonyosoma	frenatus	GRAY	1853	English common name not available	No	No
Gonyosoma jansenii	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Gonyosoma	jansenii	BLEEKER	1859	Celebes Black-tailed Ratsnake	No	No
Gonyosoma oxycephalum	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Gonyosoma	oxycephalum	BOIE	1827	Red-tailed Green Ratsnake	No	No
Gonyosoma prasinus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Gonyosoma	prasinus	BLYTH	1854	Green Trinket Snake, Green Bush Rat Snake, Green Ratsnake	No	No
Grayia caesar	Colubridae, Grayiinae, Colubroidea, Serpentes (snakes)	Grayia	caesar	GNTHER	1863	Caesar's African Water Snake	No	No
