Ahaetulla fasciolata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	fasciolata	FISCHER	1885	Speckle-headed Whipsnake, Spotted Whipsnake	Yes	No
Ahaetulla fronticincta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	fronticincta	GNTHER	1858	Gnther's Whipsnake, Burmese Vine Snake	Yes	No
Ahaetulla mycterizans	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	mycterizans	LINNAEUS	1758	Malayan (Green) Whipsnake	Yes	No
Ahaetulla nasuta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	nasuta	BONNATERRE	1790	Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake	Yes	No
Ahaetulla perroteti	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	perroteti	DUMRIL & BIBRON	1854	Western Ghats Bronzeback	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Yes	No
Ahaetulla pulverulenta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	pulverulenta	DUMRIL & BIBRON	1854	Brown-speckled Whipsnake	Yes	No
Aipysurus apraefrontalis	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	apraefrontalis	SMITH	1926	Short-nosed Seasnake, Sahul Reef Snake	Yes	Yes
Aipysurus duboisii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	duboisii	BAVAY	1869	Reef shallows seasnake	Yes	Yes
Aipysurus eydouxii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	eydouxii	GRAY	1849	Spine-tailed seasnake	Yes	Yes
Aipysurus foliosquama	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	foliosquama	SMITH	1926	Leaf-scaled Seasnake	Yes	Yes
Aipysurus fuscus	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	fuscus	TSCHUDI	1837	Dusky Seasnake, Timor Reef Snake	Yes	Yes
Aipysurus laevis	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	laevis	LACPDE	1804	Olive-brown seasnake, Shark Bay Seasnake	Yes	Yes
Aipysurus tenuis	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	tenuis	LNNBERG & ANDERSSON	1913	Arafura Sea Snake	Yes	Yes
