Aipysurus laevis	Indonesia
Aipysurus laevis	Australia
Aipysurus laevis	Guinea
Aipysurus laevis	New Caledonia
Aipysurus tenuis	Australia
Alluaudina bellyi	Madagascar
Alluaudina mocquardi	Madagascar
Haitiophis anomalus	Haiti
Haitiophis anomalus	Dominican Republic
Haitiophis anomalus	Dominica
Alsophis antiguae	None
Alsophis antillensis	None
Hypsirhynchus ater	Jamaica
Pseudalsophis biserialis	None
Cubophis cantherigerus	Cuba
Cubophis cantherigerus	Honduras
Cubophis cantherigerus	Cayman Islands
Pseudalsophis elegans	Peru
Pseudalsophis elegans	Chile
Pseudalsophis elegans	Ecuador
Hypsirhynchus melanichnus	Haiti
Hypsirhynchus melanichnus	Dominican Republic
Hypsirhynchus melanichnus	Dominica
Borikenophis portoricensis	Puerto Rico
Borikenophis portoricensis	British Virgin Islands
Alsophis rijgersmaei	Netherlands
Alsophis rijgersmaei	Anguilla
Alsophis rufiventris	Netherlands
Alsophis rufiventris	Saba
Borikenophis sanctaecrucis	Puerto Rico
Cubophis vudii	Bahamas
Amastridium veliferum	Colombia
Amastridium veliferum	Nicaragua
Amastridium veliferum	Costa Rica
Amastridium veliferum	Panama
Amastridium veliferum	Grenada
Amblyodipsas concolor	South Africa
Amblyodipsas concolor	Swaziland
Amblyodipsas dimidiata	Tanzania
Amblyodipsas katangensis	Democratic Republic of the Congo
Amblyodipsas katangensis	Tanzania
Amblyodipsas katangensis	Zambia
Amblyodipsas katangensis	Republic of the Congo
Amblyodipsas microphthalma	South Africa
Amblyodipsas microphthalma	Mozambique
Amblyodipsas polylepis	Democratic Republic of the Congo
Amblyodipsas polylepis	South Africa
Amblyodipsas polylepis	Tanzania
Amblyodipsas polylepis	Kenya
Amblyodipsas polylepis	Mozambique
Amblyodipsas polylepis	Angola
Amblyodipsas polylepis	Malawi
Amblyodipsas polylepis	Zambia
Amblyodipsas polylepis	Zimbabwe
Amblyodipsas polylepis	Somalia
Amblyodipsas polylepis	Republic of the Congo
Amblyodipsas polylepis	Namibia
Amblyodipsas polylepis	Botswana
Amblyodipsas polylepis	Swaziland
Amblyodipsas rodhaini	Democratic Republic of the Congo
Amblyodipsas rodhaini	Republic of the Congo
Amblyodipsas teitana	Kenya
Amblyodipsas unicolor	Democratic Republic of the Congo
Amblyodipsas unicolor	Tanzania
Amblyodipsas unicolor	Kenya
Amblyodipsas unicolor	Uganda
Amblyodipsas unicolor	Ghana
Amblyodipsas unicolor	Ivory Coast
Amblyodipsas unicolor	Niger
Amblyodipsas unicolor	Burkina Faso
Amblyodipsas unicolor	Senegal
