Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Indonesia
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Philippines
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Vietnam
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Thailand
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Australia
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Taiwan
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Guinea
Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	New Caledonia
Acanthophis antarcticus	Elapidae, Serpentes (snakes)	Acanthophis	antarcticus	SHAW	1802	E: Common death adderG: Todesotter	Australia
Acanthophis antarcticus	Elapidae, Serpentes (snakes)	Acanthophis	antarcticus	SHAW	1802	E: Common death adderG: Todesotter	Guinea
Acanthophis antarcticus	Elapidae, Serpentes (snakes)	Acanthophis	antarcticus	SHAW	1802	E: Common death adderG: Todesotter	Papua New Guinea
Acanthophis hawkei	Elapidae, Serpentes (snakes)	Acanthophis	hawkei	WELLS & WELLINGTON	1985		Australia
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Indonesia
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Australia
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Guinea
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Papua New Guinea
Acanthophis pyrrhus	Elapidae, Serpentes (snakes)	Acanthophis	pyrrhus	BOULENGER	1898	Desert Death Adder	Australia
Acanthophis wellsi	Elapidae, Serpentes (snakes)	Acanthophis	wellsi	HOSER	1998		Australia
Achalinus ater	Xenodermatidae, Serpentes (snakes)	Achalinus	ater	BOURRET	1937	Bourret's Odd-scaled Snake	China
Achalinus ater	Xenodermatidae, Serpentes (snakes)	Achalinus	ater	BOURRET	1937	Bourret's Odd-scaled Snake	Vietnam
Achalinus formosanus	Xenodermatidae, Serpentes (snakes)	Achalinus	formosanus	BOULENGER	1908	Formosa Odd-scaled Snake	Japan
Achalinus formosanus	Xenodermatidae, Serpentes (snakes)	Achalinus	formosanus	BOULENGER	1908	Formosa Odd-scaled Snake	Taiwan
Achalinus hainanus	Xenodermatidae, Serpentes (snakes)	Achalinus	hainanus	HUANG	1975	Hainan Odd-scaled Snake	China
Achalinus jinggangensis	Xenodermatidae, Serpentes (snakes)	Achalinus	jinggangensis	ZONG & MA	1983	Zong's Odd-scaled Snake	China
Achalinus meiguensis	Xenodermatidae, Serpentes (snakes)	Achalinus	meiguensis	HU & ZHAO	1966	Szechwan Odd-scaled Snake	China
Achalinus niger	Xenodermatidae, Serpentes (snakes)	Achalinus	niger	MAKI	1931	Black Odd-scaled Snake	Taiwan
Achalinus rufescens	Xenodermatidae, Serpentes (snakes)	Achalinus	rufescens	BOULENGER	1888	Boulenger's Odd-scaled Snake	China
Achalinus rufescens	Xenodermatidae, Serpentes (snakes)	Achalinus	rufescens	BOULENGER	1888	Boulenger's Odd-scaled Snake	Vietnam
Achalinus rufescens	Xenodermatidae, Serpentes (snakes)	Achalinus	rufescens	BOULENGER	1888	Boulenger's Odd-scaled Snake	Hong Kong
Achalinus spinalis	Xenodermatidae, Serpentes (snakes)	Achalinus	spinalis	PETERS	1869	Peters' Odd-scaled Snake	China
Achalinus spinalis	Xenodermatidae, Serpentes (snakes)	Achalinus	spinalis	PETERS	1869	Peters' Odd-scaled Snake	Japan
Achalinus spinalis	Xenodermatidae, Serpentes (snakes)	Achalinus	spinalis	PETERS	1869	Peters' Odd-scaled Snake	Vietnam
Achalinus werneri	Xenodermatidae, Serpentes (snakes)	Achalinus	werneri	VAN DENBURGH	1912	Amami odd-scaled snake	Japan
Acrochordus arafurae	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	arafurae	MCDOWELL	1979	Arafura filesnake	Indonesia
Acrochordus arafurae	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	arafurae	MCDOWELL	1979	Arafura filesnake	Australia
Acrochordus arafurae	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	arafurae	MCDOWELL	1979	Arafura filesnake	Guinea
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	China
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	India
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Indonesia
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Bangladesh
